Article Name,Article Content
Summary of changes made to funding mechanism for perpetual contracts,"We have recently made a few important changes to the mechanics of funding rate for perpetual contracts. While the
user guide
has been updated and has full details of how funding works, we are highlighting the changes that have been made here.
The formula used to compute funding has been changed
The new formula for funding rate is:
Funding Rate = Avg Premium + clamp (Interest Rate - Avg Premium, 0.05%, -0.05%)
where, Avg Premium is the 8-hour TWAP of the contract's premium (i.e. % difference of the contract's mark price and the underlying index price) and Interest Rate is the differential of borrow rates of the quoting currency and base currency.

As of now, Interest Rate for all contract is set to 0.01%/ 8h.

After this change, our funding computation formula is in line with the industry. Further, the use of clamp function helps to keep the magnitude of funding low. For e.g. when Avg Premium varies from (-0.04%, 0.06%), the funding rate will stay flat at 0.01%.
Funding now changes once every 8 hours
Previously, funding rate was computed every minute. Thus, funding rate could potentially change every minute. Now, funding is computed once every 8 hours. So, funding rate stays flat for 8 hours. Again, this is in line with the well accepted industry practices.

The lesser fluctuation/ greater certainty in funding rates will also enable traders to run long/ short strategies for perpetual/ futures and perpetual/ spot pair trades more profitably.
Funding is still exchanged every minute
This is where we are different from many of our peers. On most derivative exchanges, funding is exchanged between longs/ shorts once every 8 hours. On Delta Exchange, this exchange of funding is a continuous process that happens once every minute.This means as long as you are in a position, you are always either receiving funding or paying funding.
Funding Caps are lower
In response to demand from our traders, we have made funding caps tighter for most contracts. With the exception of a few contracts, funding caps for perpetual contracts are now set at 0.1%/ 8h.

You can find the funding cap for a contract in its
specifications
.
Impact sizes are lower
We have also lowered impact sizes for most contracts, bringing them in line with market accepted practices. The impact size for a contract is pertinent to computation of mark price and hence, computation of the funding rate.

You can find the impact size for a contract in its
specifications
."
Are there any limits on funding?,"Yes, the maximum value of funding rate at any instant (regardless of the sign) is capped. This 'Funding Cap' can vary from contract to contract and is available on the
contract specifications page."
How can I see the history of funding for any contract?,You can see the funding rate history for a selected perpetual contract by selecting the ‘Funding’ tab in the chart.
What is funding?,"A perpetual contract is designed to trade close to spot. Funding is the mechanism which helps to achieve this. It is a series of continuous payments that are exchanged between longs and shorts in a perpetual contract.

When a perpetual contract is trading at a premium to spot, funding is positive and longs pay shorts. This creates a downward pressure on the contract's price. Conversely, when a perpetual contract is trading at a discount to spot, funding is negative and shorts pay longs. In this situation, there is an upward pressure on the contract's price.

It is important to note that funding payments are completely peer to peer. Delta Exchange does not charge any fees on funding payments.

You can see complete details about funding
here
."
Authenticator Apps for 2FA,"List of supported Authenticator Apps for 2FA
Microsoft Authenticator
LastPass Authenticator
Authy Twilio
Duo Mobile
Proctetimus Smart
Salesforce Authenticator
Watchguard Authpoint
Okta Verify
ID.me Authenticator
Dashlane Authenticator
OneAuth Zoho
TOTP Authenticator - Fast 2FA
SafeNet MobilePASS++
2FAs
Note:
Click here
to know more about 2FA."
How does Delta Exchange ensure safety of crypto in its custody?,"Delta Exchange has enterprise-grade security and stores crypto in multi-sig wallets. For additional security, withdrawals are processed only once a day with manual review"
Time-In-Force Orders,"Time-In-Force orders refer to order instructions which indicate how long an open order will remain active for before it expires. This provides traders with an additional measure of control when opening active positions.

There are 2 available Time-in-Force orders available on
Delta Exchange
- GTC & IOC.
GTC
- GTC, or Good-Till-Cancelled, ensures that the order remains active until cancellation by the trader. When using this order type, an order will either execute or be manually canceled by the trader.
IOC
- IOC, or Immediate-Or-Cancel, ensures that any unfilled parts of an order are canceled immediately if not filled. IOC orders will as large a part of an order as possible, canceling the rest immediately.
Time-In-Force orders are a powerful tool for traders to improve control over the timing and execution of their orders on Delta.

[embed]https://youtu.be/9o9l60jATkM[/embed]
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Reduce-Only Orders,"Reduce-only orders allow traders to execute buy or sell orders which only reduce a current position, as opposed to opening an opposite long or short worth more than the existing value of your assets,
letting you trade without the risk of over-exposing your positions.
Orders marked as ""reduce-only"" will be canceled if they would result in increasing the position size in the opposite direction. Whilst the reduce-only flag can be used with any order type, it is most useful when combined with stop orders.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Trailing-Stop Orders,"Trailing-stop orders are an order type that activates once/if the market price goes against you by a set amount, referred to as the Trail Amount, providing you with added flexibility and automation. The stop price follows the market at a fixed distance if the price is moving in favor of your order. The stop price remains unchanged when the market is moving against the trader, however, protecting against potential losses. This enables a trader to specify a limit on the maximum possible loss (the trail amount), without having to set a limit on the maximum possible gain. When the market reaches the trigger price, a market order is activated.
Example
: If a trader is in a long position and the current price is 500, a trader can open trailing-stop orders with a price distance of 20. This will create a sell stop order at 480. Contrary to a normal stop order, if the price continues to rise to 550, the trailing stop rises accordingly to 530. If the price falls to 530, a market order is activated.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Post-Only Orders,"Post-Only orders are a limit order type on
Delta
which is only accepted if it does not immediately match with an existing order in the book. In line with this, a Post-Only order is one which is “posted” in the order book and which is not executed upon submission.
Post-Only orders add liquidity to the order book (as opposed to taking liquidity), ensuring that traders pay the maker fee upon submission, as opposed to the taker fee.
To enable Post-Only mode, simply check the ""Post Only"" button in the order form prior to submitting your order.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Stop-Limit Orders,"Stop-Limit orders are an order type to limit buy/sell a futures contract once the Mark Price hits your specified Stop Price. It is a conditional order which only becomes active once the Stop price has been hit. Once the Stop price has been hit, a limit buy/sell order will be activated based on your precise input.
For complete Stop-Limit orders, you will need to specify the Stop Price, the order quantity, and the order limit price.
Please note that only Mark Price can be used to specify the Trigger Price of a stop order. In the case of a Buy stop order, the stop price must be below the current Mark Price. For a Sell stop order, the stop price must be above the current Mark Price.
A stop order has three states:
Untriggered
- Market has not reached the Trigger Price.
Triggered
- Market has reached the Trigger Price. The stop order has become active and has entered the order book.
Filled
- After getting activated, the stop order has been filled.
Example
: Let’s say the price is currently $100. Using a Stop-limit order, you can set a stop buy price at $95. Once/if the price hits $95, a limit order will be added to the order book at your specified price and quantity. If the price does not hit $95, the order will remain active without execution.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Stop-Market Orders,"Stop-Market orders are orders to market buy/sell a futures contract once the Mark Price hits your specified Stop Price. It is a conditional order which only becomes active once the Stop price has been hit. Once the Stop price has been hit, a market buy/sell order will be activated.
Please note that only Mark Price can be used to specify the Trigger Price of a stop order. In the case of a Buy stop order, the stop price must be below the current Mark Price. For a Sell stop order, the stop price must be above the current Mark Price.
A stop order has three states:
Untriggered
- Market has not reached the Trigger Price.
Triggered
- Market has reached the Trigger Price. The stop order has become active and has entered the order book.
Filled
- After getting activated, the stop order has been filled.
Example
: Let’s say the price is currently $100. Using stop-market orders, you can set a stop buy price at $95. Once/if the price hits $95, a market order will execute at the best price available for the given quantity. If the price does not hit $95, the order will remain active without execution.
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Market Orders,"A market order is an order type that executes immediately at the best price possible. Market orders on
Delta
will always be filled assuming sufficient order book depth, potentially filling at a number of different prices depending on the number of existing orders in the book at the time.
Market orders match against the best available bids/asks in the order book to ensure the best price possible for a trader.
A market order can be used when speed is prioritized over the exact order execution price. When placing a market order, a trader prioritizes immediate order execution over price/quantity control.
Example
: Using a market order, you can specify the quantity you wish to allocate to an order (e.g. 10% of your wallet). You cannot specify the price however, as this is based on the best available prices in the order book. The order will execute immediately.
[embed]https://www.youtube.com/watch?v=bpI6t1ex1yE&feature=emb_title[/embed]
For information on further order types, visit
Delta Order Types
. For video demonstrations, visit the
Delta Youtube channel
."
Limit Orders,"Limit
orders are a highly effective way of trading on
Delta Exchange
.
A limit order is an order to buy a specified number of futures contracts at a specified price. A limit order only ever executes at the specified price (or better). This provides a trader with full control over the quantity and price of their order.
A limit order is useful for complete order accuracy. This is because the exact price and quantity can be determined prior to the order being executed. As a result, a limit order sacrifices speed and timeliness and risks not getting filled in a fast-moving market.
Example
: Let’s say the current market price is $100. Using limit orders, you can place an order at $95, anticipating further downside. The order will not execute unless the market price hits $95, providing you with a price and quantity guarantee. With a limit order, you run the risk of the price not hitting your target and the order not executing. For a full demonstration, visit our
Limit Order walkthrough. video
.
[embed]https://www.youtube.com/watch?v=Ghvr3efrrp8[/embed]"
Changes in Options Symbology,"We have made a couple of changes to Options Symbology:



1) Tickers are now in format: < option_type > - < asset > - < strike > - < expirydate in ddmmyy >
- Options type is C for calls, P for Puts and MV for MOVE
- Asset is the underlying asset. For example BTC, ETH, LINK etc.

2) We have deprecated symbols which had D,W,M terminology.

3) We have also discontinued Turbo Options."
Margin requirement for MOVE contracts,"The Margin Requirements for MOVE Contracts are fairly straightforward:
Losses for LONGS can never exceed the option premium paid. Because of this, Longs can never get liquidated, and there are
no margin requirements
on the contract.
Losses for SHORTS are theoretically unlimited (if the price was to plummet or skyrocket), and shorts are therefore required to post a
10% margin requirement
.
Short positions on MOVE contracts go into liquidation when
Position Margin
becomes less than the Maintenance Margin of the position, after factoring in unrealised losses.
The liquidation mechanism for MOVE contracts is the same as for futures contracts. A position on Delta is liquidated in a stepwise manner to reduce the market and price impact of liquidations. Traders who short MOVE contracts have the option of enabling
Auto Margin Top-up
to prevent positions from getting liquidated."
When should you trade MOVE options?,"The price and value of a MOVE contract reflect expectations about the volatility of the asset. For example, if you believe that the price of the underlying asset - Bitcoin or Ethereum - will go either up or down, you can long the contract.
On the contrary, if you believe that the underlying asset price will be relatively stable, you can short the MOVE contract. In this trade, you are short volatility. In this way, MOVE contracts on Delta allow you to trade cryptocurrency volatility.
MOVE contracts are useful during times of high market uncertainty with large price swings in either direction. They allow you to profit off of volatility without you having to predict the direction of the price change. As an example, take the FEDs most recent $700 billion injection into the US stock market. Uncertainty surrounded this event and it was difficult to tell whether the news would be interpreted positively or negatively. In a case like this, a MOVE Contract allows you to speculate on the upcoming volatility whilst disregarding the direction of the move."
Types of MOVE contracts,"Delta Exchange offers access to two types of MOVE contracts. Both types - Daily and Weekly - are available for Bitcoin and Ethereum, allowing you to comprehensively trade the daily and weekly volatility of both assets.
Daily MOVE contracts
Daily MOVE contracts track the movement of the underlying asset across a 24 hour period. The ticker for the Delta daily MOVE contract has the following format:
MV-[Underlying_Asset]-D-[Settlement Date]
where Settlement Date is in ddmmyy format. For example, MV-BTC-D-050320 is the ticker of a daily MOVE contract on BTC that will settle on 5th March 2020.
Weekly MOVE contracts
Weekly MOVE contracts track the movement of the underlying asset across a 7 day period. The ticker for weekly MOVE contract has the following format:
MV-[Underlying_Asset]-W-[Settlement Date]
where Settlement Date is in ddmmyy format. For example, MV-ETH-W-130320 is the ticker of a weekly MOVE contract on ETH that will settle on 13th March 2020.
[video width=""1920"" height=""980"" mp4=""http://static.delta.exchange/wp-content/uploads/2020/04/move_options.mp4""][/video]"
Key terms for MOVE contracts,"There are a number of key terms that are associated with MOVE contracts that traders should be aware of prior to trading.
Strike Price
The
Strike Price
is the starting price of the contract, measured as the 30 minute TWAP of the underlying asset - Bitcoin or Ethereum.
Settlement Price
The
Settlement Price,
also known as the ending price, is the 30 minute TWAP of the underlying asset - Bitcoin or Ethereum - at time of settlement. The absolute movement of the underlying asset at settlement time is therefore settlement price - strike price.
Last Price
The
Last Price
is the price of the most recent executed trade.
Index Price
The
Index Price
is the spot price of the underlying asset - Bitcoin or Ethereum - useful for reference.
Mark Price
The
Mark Price
is the price used to mark open positions on Delta, for profit/loss calculations and to trigger liquidations. The Mark Price on Delta Exchange is calculated using Fair Price Marketing, which can be read about in more detail
here
.
Premium
The
Premium
is the cost of buying the MOVE contracts. This is calculated as the
Number of Contracts * Entry Price.
In the case of a MOVE contract, long traders pay the cost of the contracts (i.e. the premium) to the selling party. Upon entering a MOVE contract, the premium will be deducted from the balance of the long trader and will be added to the balance of the short trader.
Time to settlement
Settlement Time is the time until the expiration of the MOVE contract. The time to settlement is in the DD:HH:MM format.
24h High / 24h Low
24h High
and
24h Low
show the highest and lowest USD values of the MOVE contract in the previous 24 hours."
How is the profit/ loss for MOVE contracts calculated?,"To calculate your profit or loss on a MOVE contract, compute your
‘pay-off’
minus your
‘premium’
.
The Profit/Loss of a MOVE position can be calculated as follows:
Profit/ Loss
= Pay−off +/− Premium
For longs
Pay−off
= Num_of_contracts ∗ Mark Price
Profit / Loss
= − Premium + (Num_of_contracts ∗ Mark Price)
For shorts
Pay−off
= − Num_of_contracts ∗ Mark Price
Profit / Loss
= Premium − Num_of_contracts * Mark Price
Longing a MOVE contract is profitable when the BTC/ETH price either rises or falls from the strike price by more than the total premium paid. Shorting a MOVE contract is profitable when the price rises or falls from the strike price by less than the total premium paid.
If you buy a move contract with strike price 6500 for $150, then you will make money only if the price is above 6650 or below 6350. In this way, the MOVE price that’s trading in the market tells you what is priced in. You thus make money when what happens to be priced in is incorrect."
How to trade MOVE contracts?,"To trade a MOVE contract on Delta Exchange, follow the instructions below:
Log onto Delta Exchange.
MOVE contracts are margined and settled in USDT. Convert your BTC to USDT if necessary.
Navigate to
MOVE Markets
.
Pick your preferred product:
BTC [Daily expiration]
BTC [Weekly expiration]
ETH [Daily expiration]
ETH [Weekly expiration]
Navigate to the order book on the right hand side of your screen.
Choose your preferred order type - limit, market or stop market.
Choose your direction - long or short.
Taking a Long position implies making a bet on high volatility and price fluctuations.
Taking a Short position implies making a bet on low volatility and price flucuations.
Choose your preferred price and quantity.
Click ‘Place Order’ to finish.
The below video walks you through how to place an order on a MOVE contract.
Trading MOVE contracts is very straightforward on Delta Exchange. Should you have any questions, please visit the
Delta Telegram channel
or submit a
support ticket
."
Trade and Win an iPhone 12,"Trade $50,000 in volume. Win an iPhone 12!
Eligibility Criteria & Rules:
To be eligible for the lucky draw, you need to have done a trading volume of at least $50,000 between December 18th and January 31st, 11:59pm UTC.
You can trade
any of the contracts
available on Delta.
After achieving the target volume within the campaign duration, a winner will be randomly selected as part of a luck draw, and will be announced on or before the 7th of February 2021.
Terms & Conditions:
Only participants from the allowed countries, mentioned in our
Terms of Service
, will qualify for the prize.
In case a winning participant is from the restricted location; they will be disqualified and the draw will be done again.
This campaign is for all the customers (existing and new) of Delta.
If, for whatever reasons, the prize (iPhone 12) is not available or deliverable; then an equivalent cash amount will be credited to your Delta account or an equivalent amount of gift card will be given out.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant.
In case of any dispute the decision of Delta Exchange shall be final and binding.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
DETOfam Meme and GIF Contest - Prize Pool of $5000 worth DETO,"Total Prize Pool
= $5,000 worth
DETO
Meme Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 10th Prize Pool
(Shared)
25
$1,000
$250
$150
$100
$500
25-50
$1,500
$500
$200
$150
$650
50+
$2,000
$750
$500
$250
$500
GIF Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 10th Prize Pool
(Shared)
25
$1,500
$400
$250
$150
$700
25-50
$2,000
$600
$350
$250
$800
50+
$3,000
$800
$550
$350
$1300
Contest Duration:
Start date: October 5th
End date: October 19th, 6:00 PM UTC
Participation Rules:
Follow our
Twitter
(
@Delta_Exchange
) and join our
Telegram
(
@DeltaExChat
).
You can create your own Meme and/or GIF which includes Delta Exchange logo and DETO token reference.
DETO Token details:
http://delta.exchange/delta-exchange-token
No adult content, violence, or uncivilized content allowed. Keep it clean and funny!
Download Delta Exchange’s official logo from
here
.
Reply to our Contest Tweet with your meme/GIF, with #DETOfam and tag 3 friends.
Share your meme/GIF in our Telegram group with the hashtag #DETOfam
Fill out this
Contest Form
to confirm your entry.
Contest Terms:
To qualify for the prize, you must complete all the above steps and submit the
Contest Form
before the contest deadline.
The winners will be selected by the Delta Exchange Team.
Winners will be declared 5 working days after the contest end date.
Winners will receive their prize in DETO tokens after the Token Generation Event, in their Delta Exchange account.
Only one entry per person is allowed. One person can submit both, Meme and GIF, and stand to win prizes for both their entries."
Delta Videothon Video Contest - Prize Pool of $10000 worth DETO,"Total Prize Pool
=
$10,000
worth
DETO (100,000 DETO)
'Live Trading' Video Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 15th Prize Pool
(Shared)
15
15000
5000
3500
2500
4000
15-30
25,000
10,000
4000
3000
8000
30-50
50,000
20,000
12,500
7500
10,000
50+
70,000
30,000
20,000
10,000
10,000
A
""Live Trading""
video showcases an actual trading activity on Delta Exchange.
'Live Trading' video can cover the following:
'Live Trading'
videos need to show actual trading (no testnet/mock trading) on any contract(s) on Delta; explaining everything from funding the wallet (BTC or USDT), opening the position, charting, sharing PNL card, closing position, etc. You can talk about your trading approach, and how you're using the contract(s) on Delta to your advantage.
To qualify as a '
Live Trading'
video entry; your video length must be
over 10mins
.
You can trade across any number of contracts on Delta of your choice. You can showcase multiple positions while explaining the contracts you chose to trade.
First 2 winning positions will get additional
1500 DETO each
; if they choose to trade any of the
Options contracts
on Delta.
Video Contest Prize (in DETO):
No. of Unique Entries
Total Prize Pool
1st Prize
2nd Prize
3rd Prize
4 to 15th Prize Pool
(Shared)
1-15
10,000
4000
3000
2000
1000
15-30
20,000
7000
5000
3000
5000
30+
30,000
10,000
8000
5000
7000
A
""Video""
entry is more of an informational video which doesn't primarily cover actual trading activity.
You could cover any of the following points:
Talk about the benefits of trading on Delta andmany advantages of Delta over other exchanges.
Give a detailed overview of Delta Exchange and walkthrough of the website and the exchange platform.
You can explain the various contracts available to trade on Delta Exchange.
You can also choose to cover any one product category in-depth (E.g: Futures, Perpetual Swaps, Options, Interest Rate Swaps, etc.).
Contest Duration:
Start date: October 19th
End date: January 31st, 6:30 PM UTC
Participation Rules:
Upload your video to your
YouTube
channel.
The title of the Video must contain the brand term;
Delta Exchange
Mention your Delta Referral link in the video description and Delta’s social channels (Twitter & Telegram).
Tweet this YouTube video link along with the hashtag #DeltaVideothon, tag @Delta_Exchange and tag 3 friends.
Share your tweet in our Telegram group with the hashtag #DeltaVideothon
Fill out this
Contest Form
to confirm your entry.
No adult content, violence, or uncivilized language allowed.
Selection Criteria:
1. Delta Team Scoring (50%):
Select members from the Delta Exchange team will score the videos on the basis of the content accuracy, creativity, communication and quality of the overall video.
2. Engagement Scoring (50%):
This scoring aspect will be based on the combination of engagement metrics like Views, Likes, Retweets, Comments/Replies, etc. the video receives.
Any ""paid buying"" of above mentioned engagement metrics (e.g: Likes, Comments, Shares, Retweets, etc.) will lead to immediate disqualification of the video entry.
Contest Terms:
Video can be made in any of the following languages: English, Hindi, Russian, Italian, Spanish, French, German, Korean, Japanese, Turkish, etc.
By submitting a video following the requirements detailed above, you agree to give us permission to re-use or re-post your videos across any of our other platforms at any time.
Winners will be announced 7 business days after the end date of the competition.
Multiple submissions are allowed. But
only one submission per person
will be eligible to get a prize.
A participant is only eligible to win prize in one category (either Video or Live Trading Video).
Delta Exchange reserves the right to amend the Terms and Conditions of this campaign without any prior notice.
If you've any questions regarding the contest; please feel free to reach out to us on our
Telegram Group here
."
25% Deposit Bonus Offer - Oct 2020,"BTC Deposit Bonus Offer:
Deposit (in BTC)
Bonus (in BTC)
> 0.015
25% of the deposit amount
> 0.4
0.1 ($1250 Maximum Bonus)
USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $200
25% of the deposit amount
> $5000
$1250 (Maximum Bonus)
Offer Terms:
This offer is applicable on the BTC or USDT deposit by any user, new and existing.
Get
25% Deposit Bonus;
with a
maximum bonus of $1250,
equivalent in USDT or BTC as per your deposit.
The Deposit Bonus can be claimed only once per user; either in BTC or USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in BTC and USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for deposit bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. 20% of the trading profits is used to payback the bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
Duplicate accounts are not allowed.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Valid till
15th November 2020
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
Example:
Since the minimum amount required to get the bonus is blocked;
For example
: If you deposit $1000, you'll get $250 as bonus. So, $1000 + $250 (bonus) will be the blocked amount. As you keep paying the bonus back, the blocked amount will keep getting lower. Lets say you have paid back $100, your new blocked amount is $1000 + 150 = $1150.
When you have completely paid the deposit bonus back, your blocked amount is 0. Please also note that:
1. You can make a withdrawal anytime by forfeiting the bonus. No restriction on withdrawing the amount that you have deposited.
2. Your account balance prior to taking up the deposit bonus offer has no bearing on the blocked amount."
$500 USDT in Trading Bonus - For USDT Deposits Only,"USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $100
10% of the deposit amount
> $5000
$500 (Maximum Bonus)
Offer Terms:
This offer is applicable only for the
first-time USDT deposit
made by a new user.
If your first deposit is in BTC and you convert it to USDT; you will not be eligible for this deposit bonus.
Get
10% Sign Up Bonus;
with a maximum bonus of
$500 in USDT
, as per your deposit.
The Sign Up Bonus can be claimed only once per user; only in USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for sign up bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. 20% of the trading profits is used to payback the bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
Duplicate accounts are not allowed.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Offer valid only for new users who have signed up after
10am UTC, 7
th June 2021
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
Example:
Since the minimum amount required to get the bonus is blocked;
For example
: If you deposit $1000, you'll get $100 as bonus. So, $1000 + $100 (bonus) will be the blocked amount. As you keep paying the bonus back, the blocked amount will keep getting lower. Lets say you have paid back $50, your new blocked amount is $1000 + 50 = $1050.
When you have completely paid the sign up bonus back, your blocked amount is 0. Please also note that:
1. You can make a withdrawal anytime by forfeiting the bonus. No restriction on withdrawing the amount that you have deposited.
2. Your account balance prior to taking up the deposit bonus offer has no bearing on the blocked amount.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
Halloween Deposit Bonus Offer,"BTC Deposit Bonus Offer:
Deposit (in BTC)
Bonus (in BTC)
> 0.015
50% of the deposit amount
> 0.2
0.1 ($1250 Maximum Bonus)
USDT Deposit Bonus Offer:
Deposit (in USDT)
Bonus (in USDT)
> $200
50% of the deposit amount
> $2500
$1250 (Maximum Bonus)
Campaign Offer Terms:
5 lucky draw winners from the
Halloween Trick or Treat
campaign will be eligible for this offer.
The lucky winners will be announced on 2nd November 2020.
This offer is applicable on the BTC or USDT deposit by
new users
who've signed up on Delta after 26th October, 2020.
All those participants who satisfy the above point, will be getting
25% Deposit Bonus
, as mentioned
here
.
All the participants must deposit > 0.015 BTC (or 200 USDT) before 11pm UTC, 31st October 2020, to be eligible for the lucky draw.
Lucky winners will get
50% Deposit Bonus;
with a
maximum bonus of $1250,
equivalent in USDT or BTC as per their deposit.
The Deposit Bonus can be claimed only once per user; either in BTC or USDT.
For users with existing balances, net deposits (total deposits minus total withdrawals) in BTC and USDT combined from the time of offer announcement will be considered for computing the applicable bonus amount. Therefore, if you withdraw your existing balances and deposit them again, you will not be eligible for deposit bonus.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realized profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. A fraction of profits from your trades are used for the recovery of bonus.
Deposit Bonus will be credited automatically to your account within 24 hours of winners announcement.
Duplicate accounts are not allowed.
Halloween Offer is valid only till
31st October, 11pm UTC
.
If a user is discovered to have claimed bonuses from multiple accounts, all his bonuses will be forfeited.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
USDT Deposit Offer - 2020,"USDT Deposit Offer terms:
This offer is applicable on the first USDT deposit by any user, new or existing.
There are no withdrawal restrictions on your own capital, i.e. your deposit and realised profits. - However, if your account balance will fall below a certain threshold after the withdrawal, you will forfeit the bonus.
Withdrawal restrictions on the deposit bonus are lifted once we have recovered the bonus amount from your trading. A fraction of profits from your trades are used for the recovery of bonus.
Deposit Bonus will be credited automatically to your account within 48 hours of your qualifying deposit with us.
The Deposit Bonus can be claimed only once per user. Duplicate accounts are not allowed.
Valid till
20th September 2020
.
Delta Exchange reserves the right to change the terms of the promotion or discontinue the promotion for any or all user(s) at any time due to risk of fraud or any other factor that it deems relevant. In case of any dispute the decision of Delta Exchange shall be final and binding.
If you have any queries or need clarifications, please reach out to us at
[email protected]
."
VIP Program - Get up to 50% Fee Rebate,"Rewarding traders driving higher daily volumes. Become a VIP trader with us and enjoy up to
50% rebate on fee!
Details of the V.I.P Program
Tier Level
Trading Volume (30 day Avg.)
Fee Rebate
With 250,000 DETO holding
With 1,000,000 DETO holding
VIP 1
$50 Million
20%
22.5%
25%
VIP 2
$300 Million
30%
32.5%
35%
VIP 3
$600 Million
35%
37.5%
40%
VIP 4
$1500 Million
40%
42.5%
45%
VIP 5
$3000 Million
45%
47.5%
50%
Offer Terms:
VIP Levels are calculated automatically on a daily basis.
Last 30 day average volume is used for choosing the VIP levels.
Daily DETO balance will be used to assess the qualifying levels for those holding DETO 100K+ and 500K+.
If the
average monthly volume
is not available, then
daily average volume
will be used for relevant calculations.
DETO MSP benefits and referral benefits cannot be availed by VIP users.
Customers qualifying for super VIP or part of RMM program won't get any other DETO rewards/offers from Trade Mining, Robo Trading, M.S.P, etc.
If the fee paid on an options contract is capped at 10% of the premium of that option then the VIP discount will not apply on that order.
Delta Exchange reserves the right to change this program anytime.
In case of any disputes, Delta Exchange’s interpretation of the rules of the Program will be final and binding.
Delta Exchange reserves the right to debar any customer from being a part of the VIP program.
Need more information?
Should you have any queries or need clarifications, please don't hesitate to write us at
[email protected]
or ping us on
Telegram
."
